model,sample_id,task,category,context_length,generation_seed,fp16_success,aggressive_success,fp16_valid,aggressive_valid
qwen25_3b,qwen25_3b:niah_multikey_1:4096:012:12285,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:013:16374,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:014:4044,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:015:13411,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:016:16392,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:017:5889,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:018:13699,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:019:15430,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:020:12288,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:021:7482,niah_multikey_1,Retrieval,4096,20260822,1,1,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:022:15438,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:023:12051,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:024:13703,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:025:1424,niah_multikey_1,Retrieval,4096,20260822,1,1,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:026:2762,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:027:13145,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:028:2247,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:029:13771,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:030:16371,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:031:1828,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:032:187,niah_multikey_1,Retrieval,4096,20260822,1,1,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:033:10474,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:034:6236,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:035:13399,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:036:13422,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:037:13068,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:038:6624,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:039:7399,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:040:17640,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:041:3349,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:042:10724,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:043:812,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:044:11470,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:045:16385,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:046:7212,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:047:9630,niah_multikey_1,Retrieval,4096,20260822,1,1,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:048:17637,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:4096:049:16315,niah_multikey_1,Retrieval,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:000:23858,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:001:37382,niah_multikey_1,Retrieval,8192,20260822,1,1,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:002:1173,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:003:32292,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:004:18663,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:005:32128,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:006:13983,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:007:1900,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:008:30578,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:009:36147,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:010:35550,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:011:30583,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:012:28950,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:013:16977,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:014:18661,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:015:24778,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:016:23720,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:017:32113,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:018:18733,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:019:10546,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:020:23731,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:021:29773,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:022:12715,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:023:27271,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:024:30583,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:025:26114,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:026:28949,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:027:18084,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:028:30591,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:029:23035,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:niah_multikey_1:8192:030:27275,niah_multikey_1,Retrieval,8192,20260822,1,0,1,1
